P1,P2,P3,P4,P5,P6,K1,P7,P8,P9,P10,P11,P12,K2,Output,COM turn?,Points after move,Points gained
5,5,5,5,4,4,0,4,4,0,5,5,0,2,2,TRUE,1,1
5,0,6,6,5,5,1,4,4,0,5,5,0,2,1,TRUE,1,0
0,1,7,7,6,6,1,4,0,1,6,6,1,2,3,TRUE,2,1
0,1,0,8,7,7,2,5,1,0,7,7,0,3,2,TRUE,10,8
0,0,0,0,7,7,10,5,0,0,0,7,0,12,6,TRUE,11,1
0,0,0,0,7,0,11,6,1,1,0,9,0,13,5,TRUE,12,1
1,0,0,0,0,1,12,0,3,3,2,11,1,14,6,TRUE,13,1
1,0,0,0,0,0,13,0,3,3,2,11,1,14,1,TRUE,25,12
5,5,5,4,4,4,0,4,4,4,4,4,0,1,2,TRUE,1,1
5,0,6,5,5,5,1,4,4,4,4,4,0,1,1,TRUE,1,0
0,1,7,6,6,6,1,4,0,5,5,5,1,1,3,TRUE,2,1
0,1,0,7,7,7,2,5,0,7,5,5,1,1,2,TRUE,8,6
1,1,1,7,7,7,8,5,0,7,0,0,2,2,4,TRUE,9,1
1,0,1,0,8,8,9,6,1,8,0,0,2,4,3,TRUE,18,9
2,1,0,0,8,8,18,0,2,1,1,1,0,6,1,TRUE,20,2
0,2,0,0,8,8,20,0,2,1,0,0,1,6,6,TRUE,24,4
0,2,0,0,8,0,24,1,0,3,2,2,0,6,5,TRUE,25,1
1,3,1,0,0,1,25,2,1,0,1,0,1,12,6,TRUE,26,1
1,3,1,0,0,0,26,2,1,0,1,0,1,12,2,TRUE,28,2
1,0,2,0,0,0,28,0,1,0,1,0,0,15,3,TRUE,30,2
1,0,0,1,0,0,30,0,0,0,0,1,0,15,1,TRUE,32,2
4,4,4,4,4,4,0,4,0,1,6,6,6,1,3,TRUE,1,1
4,4,0,5,5,5,1,4,0,1,6,6,6,1,5,TRUE,2,1
5,5,1,6,1,6,2,5,1,2,6,6,0,2,2,TRUE,3,1
5,0,2,7,2,7,3,5,1,2,6,6,0,2,5,TRUE,4,1
5,0,2,7,0,8,4,5,1,2,6,6,0,2,1,TRUE,4,0
0,1,3,8,1,9,4,0,2,3,7,7,1,2,6,TRUE,5,1
2,3,4,9,2,0,5,1,3,4,0,9,3,3,5,TRUE,6,1
2,3,4,9,0,1,6,1,3,4,0,9,3,3,6,TRUE,7,1
2,3,4,9,0,0,7,1,3,4,0,9,3,3,3,TRUE,8,1
2,3,0,10,1,1,8,1,3,4,0,9,3,3,6,TRUE,9,1
