P1,P2,P3,P4,P5,P6,K1,P7,P8,P9,P10,P11,P12,K2,Output,COM turn?,Points after move,Points gained
4,4,4,4,4,4,0,4,4,4,4,4,4,0,3,FALSE,1,1
4,4,0,5,5,5,1,4,4,4,4,4,4,0,6,FALSE,2,1
4,4,0,5,5,0,2,0,1,7,7,6,6,1,2,FALSE,2,0
5,1,2,6,6,1,2,0,1,0,8,7,7,2,6,FALSE,3,1
5,1,2,6,6,0,3,0,1,0,8,7,7,2,3,FALSE,3,0
5,1,0,0,7,0,3,0,0,0,8,7,7,10,2,FALSE,12,9
6,1,1,1,8,1,12,0,0,0,0,7,0,11,6,FALSE,13,1
6,1,1,1,8,0,13,0,0,0,0,7,0,11,4,FALSE,13,0
7,2,2,1,10,0,13,0,0,0,0,0,1,12,1,FALSE,14,1
4,4,4,4,4,4,0,4,4,4,4,4,4,0,6,FALSE,1,1
4,4,4,4,4,0,1,0,1,7,6,6,6,1,2,FALSE,1,0
5,1,6,5,5,1,1,0,1,0,7,7,7,2,2,FALSE,1,0
5,0,7,0,5,1,1,0,0,0,7,7,7,8,5,FALSE,2,1
6,1,8,1,0,2,2,1,1,1,0,8,8,9,4,FALSE,4,2
6,1,0,0,0,2,4,1,0,0,0,8,8,18,1,FALSE,5,1
0,2,1,1,1,3,5,1,0,0,0,8,8,18,6,FALSE,6,1
0,2,1,0,1,0,6,0,2,0,0,8,8,20,5,FALSE,6,0
1,3,2,1,1,0,6,0,2,0,0,8,0,24,2,FALSE,6,0
2,1,4,3,3,1,6,0,2,0,0,0,1,25,6,FALSE,7,1
2,1,4,3,3,0,7,0,2,0,0,0,1,25,4,FALSE,8,1
2,1,4,0,4,1,8,0,2,0,0,0,1,25,6,FALSE,9,1
2,1,4,0,4,0,9,0,2,0,0,0,1,25,3,FALSE,10,1
2,1,0,1,5,1,10,0,2,0,0,0,1,25,6,FALSE,11,1
2,1,0,1,5,0,11,0,2,0,0,0,1,25,5,FALSE,12,1
2,0,0,1,0,1,12,1,0,2,1,0,0,28,6,FALSE,13,1
2,0,0,1,0,0,13,1,0,2,1,0,0,28,1,FALSE,15,2
0,0,0,1,0,0,15,1,0,0,1,0,0,30,4,FALSE,15,0
4,4,4,4,4,4,0,4,4,4,4,4,4,0,3,FALSE,1,1
4,4,0,5,5,5,1,4,4,4,4,4,4,0,2,FALSE,1,0
5,1,2,6,6,6,1,4,4,0,5,0,6,2,6,FALSE,2,1
5,1,2,6,6,0,2,0,1,3,8,1,9,4,1,FALSE,2,0
1,3,4,8,8,2,2,1,2,3,8,1,0,5,4,FALSE,3,1
2,4,5,1,10,4,3,3,3,0,0,2,1,10,5,FALSE,4,1
3,5,5,1,0,5,4,4,0,2,2,4,3,10,2,FALSE,5,1
3,0,6,2,1,6,5,4,0,2,2,4,3,10,3,FALSE,6,1
4,1,0,3,2,7,6,5,1,2,2,0,4,11,4,FALSE,7,1
4,1,0,0,3,8,7,5,1,2,2,0,4,11,2,FALSE,10,3
4,0,0,0,3,8,10,5,1,2,0,0,4,11,6,FALSE,11,1
4,4,4,4,4,4,0,4,4,4,4,4,4,0,3,FALSE,1,1
4,4,0,5,5,5,1,4,4,4,4,4,4,0,2,FALSE,1,0
5,1,2,6,6,6,1,4,4,0,5,0,6,2,6,FALSE,2,1
5,1,2,6,6,0,2,0,1,3,8,1,9,4,5,FALSE,3,1
6,2,3,0,1,2,3,2,3,0,10,2,0,14,1,FALSE,4,1
0,3,4,1,2,3,4,2,3,0,10,2,0,14,5,FALSE,5,1
0,3,4,1,0,4,5,2,3,0,10,2,0,14,2,FALSE,9,4
0,0,5,0,0,4,9,0,1,0,10,0,0,19,6,FALSE,10,1
0,0,5,0,0,0,10,0,3,1,10,0,0,19,3,FALSE,11,1
1,1,1,2,2,2,11,2,3,1,0,1,1,20,5,FALSE,12,1
1,1,1,2,0,3,12,2,3,1,0,1,1,20,6,FALSE,13,1
1,1,0,2,0,0,13,0,5,2,0,1,0,23,4,FALSE,13,0
1,0,0,0,1,1,13,0,0,3,0,0,0,29,6,FALSE,14,1
1,0,0,0,1,0,14,0,0,3,0,0,0,29,5,FALSE,14,0
0,0,0,0,0,1,14,0,0,0,1,1,0,31,6,FALSE,15,1
4,4,4,4,4,4,0,4,4,4,4,4,4,0,3,FALSE,1,1
4,4,0,5,5,5,1,4,4,4,4,4,4,0,4,FALSE,2,1
5,4,0,0,6,6,2,5,0,0,6,6,6,2,1,FALSE,2,0
1,6,2,2,7,7,2,5,0,0,6,0,7,3,3,FALSE,2,0
2,7,1,4,9,8,2,5,0,0,6,0,0,4,3,FALSE,2,0
3,8,1,5,9,8,2,5,0,0,0,1,1,5,1,FALSE,2,0
0,9,2,6,9,8,2,0,1,1,1,2,1,6,5,FALSE,6,4
0,9,2,6,0,9,6,1,0,3,3,3,0,6,2,FALSE,7,1
