Pit_0,Pit_1,Pit_2,Pit_3,Pit_4,Pit_5,Pit_6,Pit_7,Pit_8,Pit_9,Pit_10,Pit_11,Pit_12,Pit_13,Best_Move

Time: 1hr 9min

5,5,5,4,4,4,0,4,4,0,5,0,6,2,1
5,0,6,5,5,5,1,4,4,0,5,0,6,2,5
6,1,7,6,6,1,2,5,0,2,7,1,0,4,0
0,2,8,7,7,2,3,5,0,2,7,1,0,4,1
0,0,9,8,7,2,3,5,0,0,8,2,0,4,2
2,1,1,10,9,4,5,0,2,2,0,5,0,7,1
3,1,3,10,9,4,5,0,2,2,0,0,1,8,0
0,0,4,11,9,4,5,0,2,0,1,0,0,12,2
0,0,0,12,10,5,6,0,2,0,1,0,0,12,5
0,0,0,12,10,0,7,1,3,1,0,1,1,12,4
0,0,0,12,0,1,11,2,4,2,0,1,0,15,5
0,0,0,12,0,0,12,2,4,2,0,1,0,15,3
2,1,1,0,1,1,16,3,0,0,0,3,0,20,0
1,2,2,0,1,1,16,3,0,0,0,0,1,21,2
1,2,0,1,2,1,16,0,1,1,1,0,0,22,5
1,2,0,1,2,0,17,0,1,1,1,0,0,22,1
1,0,1,2,2,0,17,0,1,1,0,1,0,22,0
0,0,0,2,2,0,19,0,1,0,0,0,0,24,3
0,0,0,0,3,1,19,0,0,1,0,0,0,24,5
0,0,0,0,3,0,20,0,0,1,0,0,0,24,4
0,0,0,0,0,1,21,1,0,0,1,0,0,24,5
