Pit_0,Pit_1,Pit_2,Pit_3,Pit_4,Pit_5,Pit_6,Pit_7,Pit_8,Pit_9,Pit_10,Pit_11,Pit_12,Pit_13,Best_Move
5,5,5,4,4,4,0,4,4,0,5,0,6,2,1
5,0,6,5,5,5,1,4,4,0,5,0,6,2,5
6,1,7,6,6,1,2,5,0,2,7,1,0,4,0
0,2,8,7,7,2,3,5,0,2,7,1,0,4,1
0,0,9,8,7,2,3,5,0,0,8,2,0,4,2
2,1,1,10,9,4,5,0,2,2,0,5,0,7,0
1,3,3,10,9,4,5,0,2,2,0,0,1,8,1
1,0,4,11,10,4,5,0,2,0,1,1,0,9,0
0,0,4,11,10,4,7,0,2,0,0,1,0,9,2
0,0,0,12,11,5,8,0,2,0,0,1,0,9,5
0,0,0,12,11,0,9,1,3,1,1,0,1,9,3
2,0,0,0,12,1,12,2,4,2,2,0,0,11,5
2,0,0,0,12,0,13,2,4,2,2,0,0,11,0
0,0,0,0,12,0,16,2,4,0,1,0,0,13,4
2,2,0,0,0,1,20,3,0,2,1,0,0,17,5
2,2,0,0,0,0,21,3,0,2,1,0,0,17,1
2,0,1,0,0,0,24,3,0,0,0,1,0,17,2
0,0,0,1,0,0,24,3,0,0,0,0,0,20,3
0,0,0,0,1,0,24,0,1,1,1,0,0,20,4
0,0,0,0,0,1,24,0,1,1,0,1,0,20,5
"
Time: 14hrs 24 min"
